T/GeV,geff,heff,sqrt(g_star_eff)
0.0001,4.46,4.78,2.263395599813609
0.00012589254117941674,7.66,7.55,2.7279258850754635
0.00015848931924611142,7.66,7.55,2.7279258850754635
0.00019952623149688788,7.66,7.55,2.7279258850754635
0.00025118864315095795,10.16,10.03,3.146690862767865
0.00031622776601683794,10.16,10.03,3.146690862767865
0.00039810717055349735,10.16,10.03,3.146690862767865
0.0005011872336272725,10.6,10.56,3.2434782168832625
0.000630957344480193,10.6,10.56,3.2434782168832625
0.0007943282347242813,10.6,10.56,3.2434782168832625
0.001,10.6,10.56,3.2434782168832625
0.0012589254117941675,10.71,10.7,3.269557972733953
0.001584893192461114,10.71,10.7,3.269557972733953
0.001995262314968879,10.71,10.7,3.269557972733953
0.002511886431509582,10.74,10.74,3.2771939216347876
0.0031622776601683794,10.74,10.74,3.2771939216347876
0.003981071705534973,10.74,10.74,3.2771939216347876
0.005011872336272725,10.76,10.76,3.2802438933713454
0.00630957344480193,10.76,10.76,3.2802438933713454
0.00794328234724282,10.76,10.76,3.2802438933713454
0.01,10.76,10.76,3.2802438933713454
0.012589254117941675,11.33,11.25,3.3422394995004745
0.01584893192461114,11.33,11.25,3.3422394995004745
0.01995262314968881,11.33,11.25,3.3422394995004745
0.025118864315095822,14.63,14.32,3.743870817010575
0.03162277660168379,14.63,14.32,3.743870817010575
0.039810717055349734,14.63,14.32,3.743870817010575
0.05011872336272725,10.040999999999999,9.251999999999999,2.919759905981114
0.06309573444801936,18.,17.55,4.136574669941304
0.07943282347242822,18.,17.55,4.136574669941304
0.1,18.,17.55,4.136574669941304
0.12589254117941676,21.76,20.86,4.471825607590917
0.15848931924611143,29.51,27.49,5.0604616165208265
0.19952623149688808,50.75,45.47,6.382736723288666
0.25118864315095824,69.26,68.55,8.23694593713922
0.31622776601683794,69.26,68.55,8.23694593713922
0.3981071705534973,69.26,68.55,8.23694593713922
0.5011872336272725,76.34,75.5,8.641136664865654
0.6309573444801936,76.34,75.5,8.641136664865654
0.7943282347242822,76.34,75.5,8.641136664865654
1.,76.34,75.5,8.641136664865654
1.2589254117941688,82.5,81.8,9.00588359873363
1.584893192461114,82.5,81.8,9.00588359873363
1.9952623149688788,82.5,81.8,9.00588359873363
2.5118864315095824,85.6,85.37,9.227167387159193
3.1622776601683795,85.6,85.37,9.227167387159193
3.9810717055349776,85.6,85.37,9.227167387159193
5.011872336272725,86.22,86.13,9.275779964279028
6.309573444801943,86.22,86.13,9.275779964279028
7.943282347242821,86.22,86.13,9.275779964279028
10.,86.22,86.13,9.275779964279028
12.589254117941687,88.45,88.14,9.371824074828876
15.848931924611142,88.45,88.14,9.371824074828876
19.95262314968883,88.45,88.14,9.371824074828876
25.11886431509582,97.4,96.53,9.780990289701137
31.622776601683793,97.4,96.53,9.780990289701137
39.81071705534978,97.4,96.53,9.780990289701137
50.11872336272725,103.53,102.85,10.108138618868432
63.09573444801943,103.53,102.85,10.108138618868432
79.43282347242821,103.53,102.85,10.108138618868432
100.,103.53,102.85,10.108138618868432
125.89254117941688,105.9,105.61,10.262591979876243
158.48931924611142,105.9,105.61,10.262591979876243
199.5262314968883,105.9,105.61,10.262591979876243
251.18864315095823,106.61,106.56,10.320369346586283
316.22776601683796,106.61,106.56,10.320369346586283
398.1071705534977,106.61,106.56,10.320369346586283
501.18723362727246,106.72,106.7,10.328601248384311
630.9573444801943,106.72,106.7,10.328601248384311
794.3282347242822,106.72,106.7,10.328601248384311
1000.,106.72,106.7,10.328601248384311
1258.9254117941687,106.74,106.74,10.33150521463354
1584.893192461114,106.74,106.74,10.33150521463354
1995.262314968883,106.74,106.74,10.33150521463354
2511.886431509582,106.75,106.75,10.33198915988591
3162.2776601683795,106.75,106.75,10.33198915988591
3981.0717055349774,106.75,106.75,10.33198915988591
5011.872336272725,106.75,106.75,10.33198915988591
6309.573444801943,106.75,106.75,10.33198915988591
7943.282347242822,106.75,106.75,10.33198915988591
10000.,106.75,106.75,10.33198915988591
