m/GeV, Lambda/GeV, m/Lambda, Alpha(m), RPocket/Lambda, Yfo, Ysqo, xGBfo, TMReq/GeV, Gamma_GB/GeV, dilution_factor, Omegah2
100.0,1.0,100.0,0.12403421398562192,1.5067600523675372e11,6.5068717319588565e-15,1.1709641052837417e-25,20.483267351093914,0.0001139141179646186,2.1746008852408904e-16,0.9999999999996685,4.687472448848441e-15
114.97569953977359,1.1497569953977358,100.0,0.12403421398562192,1.32891940478312e11,7.468351345671027e-15,1.479289156641813e-25,20.384637842464905,0.000131607259512162,2.4877037783337733e-16,0.9999999999995546,6.80854449738905e-15
132.1941148466029,1.321941148466029,100.0,0.12403421398562192,1.1720690242843939e11,8.570868900691785e-15,1.8819283007373162e-25,20.29240069631463,0.00015200416119226967,2.8459237737238205e-16,0.999999999999402,9.958876350862592e-15
151.99110829529337,1.5199110829529336,100.0,0.12403421398562192,1.0337314608715242e11,9.835798408604448e-15,2.4339611309591424e-25,20.19856075127527,0.00017557979685918628,3.255767071565255e-16,0.999999999999197,1.4809042040862942e-14
174.75284000076837,1.7475284000076838,100.0,0.12403421398562192,9.117216742828003e10,1.1288694239180025e-14,3.1481025117633145e-25,20.100011498199752,0.00020286387731916476,3.724678799777457e-16,0.9999999999989211,2.2022582925909476e-14
200.92330025650475,2.0092330025650473,100.0,0.12403421398562192,8.041125213082216e10,1.2956136441870417e-14,4.069366650688016e-25,20.001490527189123,0.00023439304850533525,4.2611786087641865e-16,0.99999999999855,3.273047216090717e-14
231.012970008316,2.3101297000831598,100.0,0.12403421398562192,7.092043165841222e10,1.486969210132137e-14,5.197732324602468e-25,19.902998091827257,0.0002708286765972603,4.875015861223275e-16,0.9999999999980512,4.8066823154901795e-14
265.60877829466864,2.6560877829466865,100.0,0.12403421398562192,6.2549798608192535e10,1.706565946031603e-14,6.667562648082632e-25,19.80453445656383,0.0003129353115470423,5.577347250620089e-16,0.999999999997381,7.089321547848931e-14
305.3855508833415,3.0538555088334154,100.0,0.12403421398562192,5.516713892506839e10,1.95828069403463e-14,8.623056275995562e-25,19.709570471633327,0.0003615331376297687,6.380940091907389e-16,0.9999999999964817,1.0541559173959605e-13
351.1191734215131,3.511191734215131,100.0,0.12403421398562192,4.865584358219149e10,2.2465110235903588e-14,1.1150547909760161e-24,19.61777743324045,0.000417620229460181,7.300404997446694e-16,0.9999999999952751,1.5672775012356636e-13
403.7017258596554,4.0370172585965545,100.0,0.12403421398562192,4.291306674268954e10,2.5779104069773168e-14,1.4417472417485531e-24,19.519630256611038,0.00048257609457202526,8.352462188420894e-16,0.999999999993649,2.329940770690817e-13
464.15888336127784,4.641588833612778,100.0,0.12403421398562192,3.784810131082681e10,2.9584671897121705e-14,1.8598438210176234e-24,19.421281304336993,0.0005576549649521804,9.55624630717231e-16,0.9999999999914625,3.455717947731942e-13
533.669923120631,5.3366992312063095,100.0,0.12403421398562192,3.338094621444506e10,3.395153563177343e-14,2.401605141807093e-24,19.32296245326798,0.0006444300782689804,1.0933655300127206e-15,0.9999999999885228,5.130615604401529e-13
613.5907273413172,6.1359072734131725,100.0,0.12403421398562192,2.9441042788926414e10,3.892534625057013e-14,3.1046047500434373e-24,19.227983742781536,0.0007445979340747183,1.2509749747185476e-15,0.999999999984577,7.625709400198829e-13
705.4802310718643,7.054802310718643,100.0,0.12403421398562192,2.596616030387758e10,4.460270198981086e-14,4.012257906707454e-24,19.133480712910867,0.0008603351182500298,1.4313209936442336e-15,0.9999999999792748,1.133101555519146e-12
811.130830789687,8.11130830789687,100.0,0.12403421398562192,2.290141302944163e10,5.1176633945699324e-14,5.18874464063659e-24,19.035251638942693,0.000994280843287587,1.6376859039789414e-15,0.9999999999721336,1.6847999951799104e-12
932.6033468832198,9.326033468832199,100.0,0.12403421398562192,2.01983933168108e10,5.872748993758289e-14,6.710661620483511e-24,18.937053791100027,0.0011491093071106712,1.8738261954692344e-15,0.9999999999625296,2.5052868325699825e-12
1072.2672220103232,10.722672220103231,100.0,0.12403421398562192,1.7814406999956818e10,6.738901946394384e-14,8.650627051429619e-24,18.83889246800433,0.001328080647844189,2.144041076244446e-15,0.9999999999496129,3.7131779684306965e-12
1232.8467394420659,12.32846739442066,100.0,0.12403421398562192,1.5711799041757565e10,7.725923652597179e-14,1.1103150350805088e-23,18.74173356438628,0.0015348859710063252,2.4532509338859355e-15,0.9999999999322485,5.479620191960385e-12
1417.4741629268055,14.174741629268055,100.0,0.12403421398562192,1.3857358773108324e10,8.857934730630307e-14,1.433692801853073e-23,18.64426735158205,0.0017739714042532373,2.8070871468768083e-15,0.9999999999088902,8.135165676319625e-12
1629.7508346206441,16.297508346206442,100.0,0.12403421398562192,1.2221795330775928e10,1.0164011347612113e-13,1.8541318716405176e-23,18.54619685703096,0.002050421429667143,3.211994889414628e-15,0.9999999998774606,1.2096423328338481e-11
1873.8174228603839,18.73817422860384,100.0,0.12403421398562192,1.0779275008542686e10,1.166286315086896e-13,2.3978875916739273e-23,18.448159097337395,0.002370014607024902,3.675350810533816e-15,0.9999999998351782,1.7986689546434193e-11
2154.4346900318833,21.544346900318832,100.0,0.12403421398562192,9.507013214106583e9,1.3382566232348932e-13,3.056590274707059e-23,18.350154388067963,0.002739494268238874,4.205597740934691e-15,0.9999999997782923,2.6361232159689376e-11
2477.0763559917114,24.770763559917114,100.0,0.12403421398562192,8.384914586701562e9,1.5355631455143248e-13,3.8435031505718904e-23,18.252183049260054,0.0031666594702936877,4.812398892852165e-15,0.9999999997017542,3.81120036083732e-11
2848.035868435802,28.48035868435802,100.0,0.12403421398562192,7.395255591099722e9,1.7615213167519634e-13,4.955415757262108e-23,18.154942165723128,0.003660390083145997,5.506814375445198e-15,0.9999999995988086,5.649638991479251e-11
3274.549162877728,32.74549162877728,100.0,0.12403421398562192,6.522404574571278e9,2.0202397141295544e-13,6.407015577182983e-23,18.05817359922446,0.0042311115636353746,6.30150325710466e-15,0.9999999994603294,8.398513806661625e-11
